id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,id_vial,desc_clase,desc_nombre,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra,cal_edificio
1816,270401421,13,PUENTE DE VALLECAS  ,1305,PORTAZGO            ,11097264,1,350400,CALLE                   ,GUILLERMO PINGARRON                               ,NUM,3,28018,1,Puerta Calle,1,Abierto,10,,PB,04,,,BAR DAMA,1,Anual,1,Abierta,53.37,39.33,20/03/2015,11097264,1,350400,CALLE                   ,GUILLERMO PINGARRON                               ,NUM,3,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,16,11.0,58,38.0,  
1981,270539729,8,FUENCARRAL-EL PARDO ,806,VALVERDE            ,20057090,1,127,CALLE                   ,ISABEL COLBRAND                                   ,NUM,18,28050,1,Puerta Calle,1,Abierto,20,,PB,05,,,EL CAÑON,1,Anual,1,Abierta,28.83,28.83,01/04/2015,20157320,1,127,CALLE                   ,ISABEL COLBRAND                                   ,NUM,18, B,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,15,15.0,30,30.0, A
1820,270397196,13,PUENTE DE VALLECAS  ,1301,ENTREVIAS           ,11087402,1,337810,AVENIDA                 ,GLORIETAS                                         ,NUM,14,28053,1,Puerta Calle,1,Abierto,20,,PB,02,,,BAR LAS RAMBLAS,1,Anual,1,Abierta,74.32,74.32,20/03/2015,11087402,1,337810,AVENIDA                 ,GLORIETAS                                         ,NUM,14,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,20,20.0,76,76.0,  
1985,270527928,8,FUENCARRAL-EL PARDO ,803,PEÑA GRANDE         ,20073902,1,1152,PLAZA                   ,PEÑA HORCAJO                                      ,NUM,2,28035,1,Puerta Calle,1,Abierto,10,,PB,05,,,KAOS,2,Estacional,1,Abierta,79.76,79.76,01/04/2015,20073902,1,1152,PLAZA                   ,PEÑA HORCAJO                                      ,NUM,2,  ,Bulevar,10:00:00,00:00:00,10:00:00,00:00:00,1,0.0,21,0.0,84,0.0,  
1830,40002317,4,SALAMANCA           ,403,FUENTE DEL BERRO    ,11016907,1,88998603,CALLE                   ,ALCALA                                            ,NUM,200,28028,1,Puerta Calle,1,Abierto,10,,PB,,,,SHUKRAN CITY,1,Anual,1,Abierta,25.27,25.27,20/03/2015,11016907,1,88998603,CALLE                   ,ALCALA                                            ,NUM,200, A,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,9,9.0,36,36.0, A
1994,280046717,8,FUENCARRAL-EL PARDO ,803,PEÑA GRANDE         ,11044374,1,384200,CALLE                   ,ISLAS ALEUTIANAS                                  ,NUM,1,28035,1,Puerta Calle,4,Cerrado,10,,PB,IZ,,,LA PALOMITA,1,Anual,1,Abierta,8.82,8.82,01/04/2015,11044374,1,384200,CALLE                   ,ISLAS ALEUTIANAS                                  ,NUM,1,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,3,3.0,10,10.0,  
1856,280058398,13,PUENTE DE VALLECAS  ,1305,PORTAZGO            ,11097620,1,88997419,CALLE                   ,RIO ORINOCO                                       ,NUM,11,28018,1,Puerta Calle,1,Abierto,10,,PB,02,,,EL MESON ESCONDIDO,2,Estacional,1,Abierta,45.08,,24/03/2015,11097620,1,88997419,CALLE                   ,RIO ORINOCO                                       ,NUM,11,  ,Acera,,,,,0,0.0,10,0.0,40,0.0,  
1999,80001030,8,FUENCARRAL-EL PARDO ,804,EL PILAR            ,11046759,1,337350,CALLE                   ,GINZO DE LIMIA                                    ,NUM,21,28029,1,Puerta Calle,1,Abierto,10,,PB,,,,BAR LA PRADERA,1,Anual,1,Abierta,26.44,26.44,01/04/2015,11046759,1,337350,CALLE                   ,GINZO DE LIMIA                                    ,NUM,21,  ,Zona de estacionamiento,08:00:00,01:00:00,08:00:00,01:00:00,0,0.0,5,5.0,15,15.0,  
1860,270161978,13,PUENTE DE VALLECAS  ,1305,PORTAZGO            ,11097182,1,700400,CALLE                   ,SANTIAGO ALIO                                     ,NUM,25,28038,1,Puerta Calle,1,Abierto,20,,PB,J,,,CAFETERÍA CHURRERÍA 'A LA PORRA',1,Anual,1,Abierta,63.91,63.91,24/03/2015,31012178,1,700400,CALLE                   ,SANTIAGO ALIO                                     ,NUM,25, A,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,17,8.0,68,32.0,  
2011,270540253,8,FUENCARRAL-EL PARDO ,808,EL GOLOSO           ,31041066,1,31000135,AVENIDA                 ,MONASTERIO DE SILOS                               ,NUM,63,28049,1,Puerta Calle,1,Abierto,20,,PB,02,,,CERVECERÍA CAFETERÍA A HURTADILLAS,1,Anual,1,Abierta,53.46,53.46,01/04/2015,31041066,1,31000135,AVENIDA                 ,MONASTERIO DE SILOS                               ,NUM,63,  ,Acera,08:00:00,01:00:00,08:00:00,01:00:00,0,0.0,11,11.0,41,41.0,  
1866,270162160,13,PUENTE DE VALLECAS  ,1305,PORTAZGO            ,11097299,1,741600,CALLE                   ,TIERRUCA                                          ,NUM,18,28018,1,Puerta Calle,1,Abierto,10,,PB,01,,,BAR ALMARAZ,2,Estacional,1,Abierta,30.49,,24/03/2015,11097299,1,741600,CALLE                   ,TIERRUCA                                          ,NUM,18,  ,Acera,,,,,0,0.0,10,0.0,40,0.0,  
2012,285016382,8,FUENCARRAL-EL PARDO ,803,PEÑA GRANDE         ,31028608,1,322600,CAMINO                  ,GANAPANES                                         ,NUM,1,28035,1,Puerta Calle,1,Abierto,70,,PB,01,,,BAR EL ROMPIDO,1,Anual,1,Abierta,75.52,75.52,01/04/2015,31028608,1,322600,CAMINO                  ,GANAPANES                                         ,NUM,1, A,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,19,19.0,68,68.0, A
